配置,抽检序号,事实类别,对应事实编号,审计结论,得分,理由
DeepSeek V4 Flash,15,上下文,F28,正确,1,1M版本信息可复核
DeepSeek V4 Flash,16,开源,F29,正确,1,MIT结论与公开仓库相符
DeepSeek V4 Flash,17,基准,F61,正确,1,基准表述有官方文档线索
DeepSeek V4 Flash,18,产品,F46,正确,1,定价有发布稿支持
DeepSeek V4 Flash,19,价格,F57,正确,1,价格信息有明确报道来源且在风险清单中提示时效性
DeepSeek V4 Flash,20,能力升级,F62,正确,1,思考模式可在官方文档复核
DeepSeek V4 Flash,21,发布时间,F09,正确,1,发布时间有多处公开报道支持
DeepSeek V4 Flash,22,参数,F68,部分支持,0.5,激活参数存在40B与44B冲突
DeepSeek V4 Flash,23,基准,F74,正确,1,标明官方自报与时点属性
DeepSeek V4 Flash,24,生态,F70,部分支持,0.5,全程昇腾且无NVIDIA属于第三方叙述，需官方证明
DeepSeek V4 Flash,25,模态,F56,正确,1,官方页面可支持原生工具调用
DeepSeek V4 Flash,26,发布时间,F71,正确,1,两个时间点均被说明，正式公告日可追溯
DeepSeek V4 Flash,27,开源,F63,正确,1,开源状态与公开发布信息相符
DeepSeek V4 Flash,28,基准,F66,正确,1,数值按第三方口径陈述且未拔高为独立结论
DeepSeek V4 Flash,29,价格,F50,正确,1,价格口径有媒体来源并在风险清单中标注
DeepSeek V4 Flash,30,能力升级,F43,正确,1,ARC统一能力有官方发布支持
