平台,测试编号,上下文分层,评分维度,满分,得分,扣分,扣分原因,使用文件,复核备注
WorkBuddy,FACTS_001,短上下文,回答完整性与任务覆盖,3.33,3.25,0.08,覆盖理论机制和实证证据，略扩展到 D&I 场景。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_001,短上下文,证据可追溯性,2.22,2.05,0.17,证据基本可追溯，P05 引句因弯引号/撇号差异未完全逐字命中。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_001,短上下文,材料边界与表达控制,1.12,1.05,0.07,扩展说明方向合理，但比用户问题略宽。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_002,短上下文,材料内事实可靠性,3.33,3.30,0.03,结论均由材料支持。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_002,短上下文,回答完整性与任务覆盖,3.33,3.25,0.08,覆盖较完整，并补充使用边界不清晰这一风险。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_002,短上下文,证据可追溯性,2.22,1.65,0.57,大量段落编号写为 P02/P03/P04，但任务材料实际主要为 P01，段落定位不可直接复核。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_002,短上下文,材料边界与表达控制,1.12,0.95,0.17,未说明高中场景并非材料直接讨论对象。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_003,短上下文,材料内事实可靠性,3.33,3.25,0.08,关键事实基本准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_003,短上下文,回答完整性与任务覆盖,3.33,2.70,0.63,覆盖主要点，但明显超出 400 词，并多次使用用户禁用词 AI。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_003,短上下文,证据可追溯性,2.22,1.85,0.37,证据总体可追溯，但引句较长且部分不是最短充分证据。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_003,短上下文,材料边界与表达控制,1.12,0.55,0.57,未处理禁用词和篇幅限制，也未充分说明材料缺少具体公司名单。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_004,中等上下文,材料内事实可靠性,3.33,3.25,0.08,正确识别 W. I. King 与美国分配统计的关系。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_004,中等上下文,回答完整性与任务覆盖,3.33,3.20,0.13,回答清楚，并区分 King、Rae、Pareto 的不同贡献。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_004,中等上下文,证据可追溯性,2.22,2.00,0.22,证据可复核，少量 OCR 拼写与转写存在差异。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_004,中等上下文,材料边界与表达控制,1.12,1.12,0.00,明确指出材料未直接写 King 的国籍。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_005,中等上下文,材料内事实可靠性,3.33,3.33,0.00,三项领域和细节均准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_005,中等上下文,回答完整性与任务覆盖,3.33,3.33,0.00,覆盖完整。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_005,中等上下文,证据可追溯性,2.22,1.65,0.57,语义证据正确，但段落编号写为 P03，任务材料实际为 P01。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_005,中等上下文,材料边界与表达控制,1.12,1.12,0.00,无材料外补充。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_006,中等上下文,材料内事实可靠性,3.33,3.33,0.00,规则和扩展解释均来自材料。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_006,中等上下文,回答完整性与任务覆盖,3.33,3.33,0.00,覆盖最完整，并包含执行细节。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_006,中等上下文,证据可追溯性,2.22,1.75,0.47,一条 CSV 行字段错位，且多条引句过长，影响结构化复核。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_006,中等上下文,材料边界与表达控制,1.12,1.12,0.00,说明材料为幻灯片文本，并标出未提供片段内容。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_007,长上下文,材料内事实可靠性,3.33,3.33,0.00,四因素、支持和反对理由均准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_007,长上下文,回答完整性与任务覆盖,3.33,3.30,0.03,覆盖转换性、不公开副本、商业性、市场替代和未决状态。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_007,长上下文,证据可追溯性,2.22,2.00,0.22,证据内容准确，但均标为 P02，长段定位精度有限。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_007,长上下文,材料边界与表达控制,1.12,1.12,0.00,明确说明文章尚无最终判决结论。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_008,长上下文,材料内事实可靠性,3.33,3.33,0.00,所有主要利弊均准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_008,长上下文,回答完整性与任务覆盖,3.33,3.10,0.23,覆盖主要利弊，但未纳入避免有偏私外观者投决定票这一正面理由。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_008,长上下文,证据可追溯性,2.22,2.22,0.00,证据均回指 P01。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_008,长上下文,材料边界与表达控制,1.12,1.12,0.00,说明 pros/cons 是根据材料合理归纳。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_009,长上下文,材料内事实可靠性,3.33,3.33,0.00,动物相关事实准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_009,长上下文,回答完整性与任务覆盖,3.33,3.33,0.00,覆盖最细，包括鲑鱼、钢头鳟、海狮、相关鱼类、狼类、长臂猿、郊狼及比喻动物。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_009,长上下文,证据可追溯性,2.22,2.05,0.17,证据较充分，但部分引句过长，复核成本偏高。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_009,长上下文,材料边界与表达控制,1.12,1.12,0.00,明确说明只被顺带提及的动物缺少更多信息。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_001,短上下文,材料内事实可靠性,3.33,3.33,0.00,核心事实完全准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_001,短上下文,回答完整性与任务覆盖,3.33,3.12,0.21,回答关系和机制，但未覆盖材料中不灵活企业持有更多现金的反向实证。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_001,短上下文,证据可追溯性,2.22,2.15,0.07,证据可追溯，个别引句标点与原文略有差异。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_001,短上下文,材料边界与表达控制,1.12,1.12,0.00,无材料外补充。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_002,短上下文,材料内事实可靠性,3.33,3.33,0.00,所有主要结论均有材料依据。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_002,短上下文,回答完整性与任务覆盖,3.33,3.33,0.00,教师用途、学生风险和可迁移边界覆盖完整。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_002,短上下文,证据可追溯性,2.22,1.75,0.47,证据引句多能命中，但段落编号 P03/P04 与实际材料编号不一致。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_002,短上下文,材料边界与表达控制,1.12,1.12,0.00,明确说明材料是高等教育语境，未直接讨论高中。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_003,短上下文,材料内事实可靠性,3.33,3.25,0.08,事实概括准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_003,短上下文,回答完整性与任务覆盖,3.33,3.05,0.28,覆盖主要点，并回应 code of conduct；仍违反禁用词要求。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_003,短上下文,证据可追溯性,2.22,2.22,0.00,CSV 引句与段落编号整体可复核。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_003,短上下文,材料边界与表达控制,1.12,0.95,0.17,明确说明材料未给具体公司名、作者姓名和准则全文，但仍多次使用禁用词 AI。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_004,中等上下文,材料内事实可靠性,3.33,3.25,0.08,正确识别 W. I. King。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_004,中等上下文,回答完整性与任务覆盖,3.33,3.00,0.33,回答准确但较简略，未展开 Rae/Pareto 的排除理由。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_004,中等上下文,证据可追溯性,2.22,1.95,0.27,使用省略号引句，证据不是完全逐字摘录。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_004,中等上下文,材料边界与表达控制,1.12,1.12,0.00,明确说明 American 身份无法由材料独立判断。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_005,中等上下文,材料内事实可靠性,3.33,3.33,0.00,三项领域和细节均准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_005,中等上下文,回答完整性与任务覆盖,3.33,3.33,0.00,覆盖完整。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_005,中等上下文,证据可追溯性,2.22,2.22,0.00,证据均准确回指 P01。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_005,中等上下文,材料边界与表达控制,1.12,1.12,0.00,无材料外补充。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_006,中等上下文,材料内事实可靠性,3.33,3.33,0.00,十条规则和解释均准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_006,中等上下文,回答完整性与任务覆盖,3.33,3.33,0.00,覆盖完整，解释充分。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_006,中等上下文,证据可追溯性,2.22,2.10,0.12,证据可复核，但部分规则解释只配一条概括性引句。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_006,中等上下文,材料边界与表达控制,1.12,1.12,0.00,指出第十条 UNHAPPY/ANGRY 的措辞差异。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_007,长上下文,材料内事实可靠性,3.33,3.33,0.00,内容准确完整。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_007,长上下文,回答完整性与任务覆盖,3.33,3.30,0.03,覆盖支持和不利因素，并说明尚无定论。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_007,长上下文,证据可追溯性,2.22,1.30,0.92,段落编号 P22-P26 在任务材料中不存在，严重影响复核。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_007,长上下文,材料边界与表达控制,1.12,1.12,0.00,明确说明无法得出一定构成合理使用的结论。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_008,长上下文,材料内事实可靠性,3.33,3.33,0.00,利弊判断准确，并纳入决定票场景。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_008,长上下文,回答完整性与任务覆盖,3.33,3.33,0.00,覆盖完整且表达清楚。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_008,长上下文,证据可追溯性,2.22,1.50,0.72,部分证据段落编号写为 P08/P09，但任务材料实际只有 P01。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_008,长上下文,材料边界与表达控制,1.12,1.05,0.07,未说明分类是由材料归纳而非原文直接列项。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_009,长上下文,材料内事实可靠性,3.33,3.33,0.00,动物相关事实准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_009,长上下文,回答完整性与任务覆盖,3.33,3.25,0.08,覆盖完整，略少于 WorkBuddy 对诉讼细节的展开。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_009,长上下文,证据可追溯性,2.22,2.00,0.22,少量 CSV 引句用斜杠拼接两个原文片段，逐字复核性弱于单引句。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
TRAE Work,FACTS_009,长上下文,材料边界与表达控制,1.12,1.12,0.00,对红狼、长臂猿、郊狼、狗熊猫等顺带提及有边界说明。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
